addr	segment	vma	state	pfn	path
789230c61000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c62000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c63000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c64000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c65000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c66000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c67000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c68000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c69000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c6a000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c6b000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c6c000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c6d000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c6e000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c6f000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c70000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c71000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c72000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c73000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c74000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c75000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c76000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c77000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c78000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c79000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c7a000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c7b000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c7c000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c7d000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c7e000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c7f000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c80000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c81000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c82000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c83000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c84000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c85000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c86000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c87000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c88000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c89000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c8a000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c8b000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c8c000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c8d000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c8e000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c8f000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c90000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c91000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c92000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c93000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c94000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c95000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c96000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
